id,scanid,discoverynodeip,createdtime,mac,ip,discoverytype
a61ca8f6-f824-46dc-a9d5-ee4a888245f4,1102,3232251644,2023-01-23 14:29:51,08 62 66 7C F3 72,3232251416,SNMP
a26a00de-d30e-46a3-9447-47331dc9f4f5,1102,3232251644,2023-01-23 14:29:51,00 0F 90 E3 36 C1,3232251644,SNMP
2f97d408-32c6-4702-80f0-af8e205b5b2d,1102,3232251644,2023-01-23 14:29:51,00 1A E2 88 4D 4E,3232279633,SNMP
19c4a3de-8b0e-4899-8e0f-10fea736064a,1102,3232251644,2023-01-23 14:29:51,00 1A E2 88 4D 4E,3232280480,SNMP
783b89e2-7bd7-4ff1-9af8-6b24ab17b2fb,1102,3232251644,2023-01-23 14:29:51,00 1A E2 88 4D 4E,3232300427,SNMP
efbba024-4fca-458e-94be-c0e01620d73d,1102,3232251644,2023-01-23 14:29:51,00 1A E2 88 4D 4E,3232300553,SNMP
f0110486-7239-4226-b4c5-dcb592f834a3,1102,3232251644,2023-01-23 14:29:51,00 1A E2 88 4D 4E,3232300561,SNMP
cb990f42-c36b-439f-9dd1-d54bb23bf340,1102,3232251643,2023-01-23 14:29:51,08 62 66 7C F3 72,3232251416,SNMP
54131c4a-cb0c-4552-bdc0-7caeaa4eaa24,1102,3232251643,2023-01-23 14:29:51,10 C3 7B 92 93 6D,3232251423,SNMP
3650d098-9861-4607-a2f2-8be4c773b69e,1102,3232251643,2023-01-23 14:29:51,0C 85 25 76 DE 42,3232251643,SNMP
a0817f18-5a91-40b8-a0dd-14f52e6f55ca,1102,3232251643,2023-01-23 14:29:51,00 1A E2 88 4D 4E,3232251646,SNMP
0f0e247d-479a-46b8-b49f-b97f4507e53f,1102,3232251646,2023-01-23 14:29:51,00 0C 29 15 43 7E,3232235521,SNMP
2cdf5163-92dc-485b-8d8c-2afe1511fb9c,1102,3232251646,2023-01-23 14:29:51,00 1A E2 88 4D 42,3232235522,SNMP
098393b8-def6-4c4b-bf39-b6e73562f8a0,1102,3232251646,2023-01-23 14:29:51,00 1A E2 88 4D 43,3232237054,SNMP
6fffac1b-e1d5-4485-b190-cd9c1f2df66e,1102,3232251646,2023-01-23 14:29:51,00 1A E2 88 4D 46,3232239614,SNMP
15554d7e-1287-4a61-875e-db359f0c42b0,1102,3232251646,2023-01-23 14:29:51,00 50 56 AF EB 36,3232239626,SNMP
1ba00950-505e-41ce-aef7-5fb3c77d6e14,1102,3232251646,2023-01-23 14:29:51,00 15 65 32 EE BE,3232239632,SNMP
9efab598-6390-447a-8089-5d74cf2e2ad0,1102,3232251646,2023-01-23 14:29:51,80 5E C0 1B CD 50,3232239633,SNMP
95e44610-d1b9-4c48-9321-709be5f546fa,1102,3232251646,2023-01-23 14:29:51,00 15 65 B8 D5 BA,3232239634,SNMP
e662527c-f0c0-434c-94a1-2415359b8a2f,1102,3232251646,2023-01-23 14:29:51,00 15 65 B8 D5 B9,3232239636,SNMP
62f01b89-986a-40b7-b660-9e65a8fbbbc5,1102,3232251646,2023-01-23 14:29:51,00 15 65 21 B6 09,3232239638,SNMP
c5de8135-a591-479a-8f09-8c56a5cecb2e,1102,3232251646,2023-01-23 14:29:51,80 5E C0 1B CD 82,3232239639,SNMP
ea4f558b-0b01-4997-ae52-443f2208fc4b,1102,3232251646,2023-01-23 14:29:51,00 15 65 B7 E9 8E,3232239640,SNMP
0f52a085-ef05-41e5-a363-445d56fadf7e,1102,3232251646,2023-01-23 14:29:51,80 5E C0 0D 88 B1,3232239641,SNMP
949b3ba9-a31f-4205-8465-697fbdff42aa,1102,3232251646,2023-01-23 14:29:51,00 15 65 3D DA E6,3232239642,SNMP
45af9bf0-f61c-46c6-990b-5717e27707e6,1102,3232251646,2023-01-23 14:29:51,80 5E C0 0D 86 86,3232239643,SNMP
e3f381ed-6b8a-45a9-9243-3f77a8101744,1102,3232251646,2023-01-23 14:29:51,00 15 65 49 9C DA,3232239644,SNMP
6ef2a4e3-a488-4e7d-922d-7736ffcf8480,1102,3232251646,2023-01-23 14:29:51,00 15 65 B8 D4 7A,3232239645,SNMP
2d486298-cb9d-4ebb-b55d-68ce5f3ba2c5,1102,3232251646,2023-01-23 14:29:51,80 5E C0 1B CD 4A,3232239646,SNMP
96ea7fc2-1d47-4f87-ad83-1d5cafdb9563,1102,3232251646,2023-01-23 14:29:51,00 15 65 49 9A 04,3232239647,SNMP
837c0f0b-08b9-4f4a-af74-41057866ad0a,1102,3232251646,2023-01-23 14:29:51,00 15 65 20 23 3B,3232239648,SNMP
179be910-3257-4307-bf69-32e548f2080b,1102,3232251646,2023-01-23 14:29:51,80 5E C0 0D 88 91,3232239652,SNMP
7da03169-c515-42e9-aa08-deb8f5b6c35b,1102,3232251646,2023-01-23 14:29:51,80 5E C0 1B CF D6,3232239653,SNMP
011eff46-7107-4ac0-b647-0900eea505ca,1102,3232251646,2023-01-23 14:29:51,80 5E C0 37 F0 BD,3232239656,SNMP
59a34394-c0c2-4883-8027-e9addb6ae3da,1102,3232251646,2023-01-23 14:29:51,00 1A E2 88 4D 47,3232239870,SNMP
ad399ee3-0e61-4e2e-960a-3629ef2f8d36,1102,3232251646,2023-01-23 14:29:51,54 C4 15 16 3C 01,3232240642,SNMP
01cf1713-2c4b-45b3-a42f-16cfdb15041b,1102,3232251646,2023-01-23 14:29:51,54 C4 15 16 3E 61,3232240643,SNMP
e84b427a-4a48-4369-9fc0-3dc031bd1246,1102,3232251646,2023-01-23 14:29:51,54 C4 15 16 3E DD,3232240644,SNMP
bd4bca5d-a5ae-4ba6-9b7e-a7885a58d08c,1102,3232251646,2023-01-23 14:29:51,54 C4 15 16 3E FF,3232240645,SNMP
5b995495-730b-4f7f-b3d1-e3a8332bf7ef,1102,3232251646,2023-01-23 14:29:51,18 68 CB 07 28 91,3232240646,SNMP
e8ed15ff-538b-4e04-9690-98ea68dbdc2d,1102,3232251646,2023-01-23 14:29:51,18 68 CB 07 34 BE,3232240647,SNMP
2f4b5557-e3c3-420c-8246-dccb9a510a42,1102,3232251646,2023-01-23 14:29:51,18 68 CB 07 2C B6,3232240648,SNMP
dfea839a-9885-4162-8175-76fd79d5c80f,1102,3232251646,2023-01-23 14:29:51,18 68 CB 07 2C A1,3232240650,SNMP
3b505130-fb59-4f28-abc1-89a74004c566,1102,3232251646,2023-01-23 14:29:51,4C BD 8F 6A FD A8,3232240651,SNMP
